Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Stroke,Duty : Response,Activity : Vehicle Passenger
Rank : Pump Operator/Inspector,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : First Assistant Chief,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Captain,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : Support
Rank : Fire Chief,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Captain,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Personal Vehicle Driver/Passenger
"Rank : Firefighter, Training Officer",Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Ventilation
Rank : Fire Lieutenant,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Support
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter-EMT,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Personal Vehicle Driver/Passenger
